,ID,Key,Name,Mascot,Conference,ELO,Record
298,299,MCNST,McNeese State,Cowboys,Southland,1030.4699833458699,6 - 1
114,115,HAWAII,Hawaii,Rainbow Warriors,Big West,1030.2175389197112,6 - 2
22,23,MIA,Miami,Hurricanes,Atlantic Coast,1030.164013569365,6 - 2
269,270,TXAM,Texas A&M,Aggies,Southeastern,1030.0263154090578,6 - 2
135,136,MARSH,Marshall,Thundering Herd,Sun Belt,1029.868627184459,5 - 2
57,58,VILL,Villanova,Wildcats,Big East,1029.8332647574118,5 - 1
346,347,SEA,Seattle,Redhawks,West Coast,1029.8126838677674,5 - 2
124,125,WM,William & Mary,Tribe,Coastal Athletic Association,1029.0981787076253,7 - 2
99,100,NW,Northwestern,Wildcats,Big Ten,1027.858455169714,5 - 2
133,134,UAB,UAB,Blazers,American,1027.7883542823943,6 - 2
110,111,TXTECH,Texas Tech,Red Raiders,Big 12,1027.5715163527282,6 - 2
140,141,NTX,North Texas,Mean Green,American,1026.4240278052744,6 - 2
95,96,WISC,Wisconsin,Badgers,Big Ten,1026.3496498863603,5 - 2
347,348,UTAHV,Utah Valley,Wolverines,Western Athletic,1025.8548462787937,6 - 1
147,148,VALP,Valparaiso,Beacons,Missouri Valley,1025.2809280089843,5 - 2
104,105,OKL,Oklahoma,Sooners,Southeastern,1024.283642449468,5 - 2
44,45,VCU,VCU,Rams,Atlantic 10,1023.3084820986148,5 - 3
203,204,ILLST,Illinois State,Redbirds,Missouri Valley,1023.1110887170427,6 - 2
281,282,ETNST,East Tennessee State,Buccaneers,Southern,1022.376140514795,6 - 1
9,10,TULANE,Tulane,Green Wave,American,1022.1352497081085,5 - 2
290,291,SFAUS,Stephen F. Austin,Lumberjacks,Southland,1021.795689055303,5 - 2
117,118,UCDV,UC Davis,Aggies,Big West,1021.7897962236473,5 - 2
239,240,MURST,Murray State,Racers,Missouri Valley,1020.0861083877559,5 - 3
33,34,WAKE,Wake Forest,Demon Deacons,Atlantic Coast,1019.7929973333722,6 - 2
143,144,WKENT,Western Kentucky,Hilltoppers,Conference USA,1019.5103165123303,5 - 2
324,325,TXA,UT Arlington,Mavericks,Western Athletic,1018.3086167767127,6 - 2
11,12,STBR,Stony Brook,Seawolves,Coastal Athletic Association,1017.6467643480653,6 - 2
186,187,EMICH,Eastern Michigan,Eagles,Mid-American,1016.9151555993736,5 - 3
332,333,TROY,Troy,Trojans,Sun Belt,1016.3940553169682,6 - 3
50,51,DUQ,Duquesne,Dukes,Atlantic 10,1015.8284002288101,5 - 2
266,267,SC,South Carolina,Gamecocks,Southeastern,1015.4753617785487,5 - 2
3,4,CIN,Cincinnati,Bearcats,Big 12,1014.4388341603424,5 - 2
144,145,FLATL,Florida Atlantic,Owls,American,1014.4286079924323,5 - 3
153,154,NKENT,Northern Kentucky,Norse,Horizon League,1014.0870752382376,6 - 2
118,119,USCB,UC Santa Barbara,Gauchos,Big West,1013.3744533761741,6 - 2
252,253,UCLA,UCLA,Bruins,Big Ten,1013.3552762764921,5 - 2
273,274,MISS,Ole Miss,Rebels,Southeastern,1012.8276707545673,5 - 2
108,109,TX,Texas,Longhorns,Southeastern,1012.6621768189842,6 - 2
283,284,MERC,Mercer,Bears,Southern,1012.6181412766667,5 - 2
337,338,SF,San Francisco,Dons,West Coast,1012.5608570821794,5 - 3
344,345,GCAN,Grand Canyon,Antelopes,Mountain West,1012.4194389757052,4 - 3
214,215,BOISE,Boise State,Broncos,Mountain West,1012.3698810347397,5 - 3
180,181,BOWLGR,Bowling Green,Falcons,Mid-American,1012.3334301437311,5 - 2
83,84,LIBRTY,Liberty,Flames,Conference USA,1011.6369410181427,5 - 2
54,55,UMASS,Massachusetts,Minutemen,Mid-American,1011.5087562999908,4 - 3
339,340,PORT,Portland,Pilots,West Coast,1011.3490846152472,5 - 3
160,161,PENN,Penn,Quakers,Ivy League,1010.9782802715096,5 - 3
182,183,TOLEDO,Toledo,Rockets,Mid-American,1010.7467812790914,4 - 3
275,276,ARK,Arkansas,Razorbacks,Southeastern,1010.7139483474145,5 - 2
229,230,ROBMS,Robert Morris,Colonials,Horizon League,1010.1917185765853,6 - 3
169,170,FAIR,Fairfield,Stags,Metro Atlantic Athletic,1009.7491299937283,5 - 3
228,229,LIUB,LIU,Sharks,Northeast,1009.5136143635762,4 - 3
294,295,SMHO,Sam Houston,Bearkats,Conference USA,1009.4041297945446,5 - 2
1,2,TEMPL,Temple,Owls,American,1009.0016799158609,4 - 3
317,318,NDKST,North Dakota State,Bison,Summit,1008.9473342411122,5 - 2
248,249,WASH,Washington,Huskies,Big Ten,1008.8059046935546,5 - 2
28,29,FLST,Florida State,Seminoles,Atlantic Coast,1008.3566059560618,5 - 2
41,42,KENEST,Kennesaw State,Owls,Conference USA,1007.9865906570749,5 - 2
231,232,CENCON,Central Connecticut State,Blue Devils,Northeast,1007.4244091882789,5 - 2
80,81,COAST,Coastal Carolina,Chanticleers,Sun Belt,1006.9956075404774,5 - 3
284,285,WOFF,Wofford,Terriers,Southern,1006.7742900858722,5 - 3
173,174,QUIN,Quinnipiac,Bobcats,Metro Atlantic Athletic,1006.6603409505078,5 - 3
126,127,TOWS,Towson,Tigers,Coastal Athletic Association,1006.1524833361898,5 - 3
18,19,UMBC,UMBC,Retrievers,America East,1005.8836211109502,5 - 2
136,137,LOUTCH,Louisiana Tech,Bulldogs,Conference USA,1005.7985205242445,4 - 2
320,321,SDAK,South Dakota,Coyotes,Summit,1005.7462842412426,5 - 3
267,268,UK,Kentucky,Wildcats,Southeastern,1005.4104922296971,5 - 2
10,11,SFL,South Florida,Bulls,American,1005.3357747867399,4 - 4
201,202,WICHST,Wichita State,Shockers,American,1005.029995829351,4 - 4
127,128,HOFST,Hofstra,Pride,Coastal Athletic Association,1004.9586806746752,5 - 3
32,33,NCST,North Carolina State,Wolfpack,Atlantic Coast,1004.8590085272259,5 - 2
210,211,DRAKE,Drake,Bulldogs,Missouri Valley,1004.0263835298039,5 - 3
24,25,ND,Notre Dame,Fighting Irish,Atlantic Coast,1003.6992243093982,5 - 3
211,212,SDST,San Diego State,Aztecs,Mountain West,1003.491846206284,3 - 3
215,216,NEVADA,Nevada,Wolf Pack,Mountain West,1003.2131978486176,4 - 4
331,332,TXST,Texas State,Bobcats,Sun Belt,1003.0670365963243,6 - 4
260,261,COLG,Colgate,Raiders,Patriot League,1002.9754018156084,5 - 4
52,53,FORDM,Fordham,Rams,Atlantic 10,1001.9728399185127,6 - 3
75,76,PORTST,Portland State,Vikings,Big Sky,1001.5556032820543,4 - 2
129,130,ELON,Elon,Phoenix,Coastal Athletic Association,1001.5433106588561,4 - 3
212,213,FREST,Fresno State,Bulldogs,Mountain West,1001.5087836588236,5 - 4
175,176,MARIST,Marist,Red Foxes,Metro Atlantic Athletic,1001.0351064532543,4 - 2
302,303,LAMAR,Lamar,Cardinals,Southland,1000.3286264026106,4 - 2
877,1024,TARL,Tarleton State,Texans,Western Athletic,1000.1879157825672,5 - 3
161,162,CORNEL,Cornell,Big Red,Ivy League,1000.0804083557329,5 - 2
125,126,JMAD,James Madison,Dukes,Sun Belt,999.4444073604811,5 - 4
209,210,BRADLY,Bradley,Braves,Missouri Valley,999.3437204420883,4 - 4
65,66,DEPAUL,DePaul,Blue Demons,Big East,999.2979042956786,5 - 3
156,157,ILLCHI,UIC,Flames,Missouri Valley,998.741472385381,4 - 3
195,196,NCAT,North Carolina A&T,Aggies,Coastal Athletic Association,998.5797896669076,3 - 2
243,244,SIUE,SIUE,Cougars,Ohio Valley,998.4076317408413,5 - 3
78,79,NARZ,Northern Arizona,Lumberjacks,Big Sky,998.0960077797408,4 - 2
81,82,WINTH,Winthrop,Eagles,Big South,997.9747147352649,4 - 4
326,327,ARKST,Arkansas State,Red Wolves,Sun Belt,997.7382964858765,4 - 3
37,38,FLGC,Florida Gulf Coast,Eagles,Atlantic Sun,997.7130882851602,5 - 3
288,289,SAMF,Samford,Bulldogs,Southern,997.3965758850131,4 - 5
264,265,AMERCN,American,Eagles,Patriot League,996.948800212576,5 - 4
959,1112,STMN,St. Thomas (MN),Tommies,Summit,996.3711400274708,5 - 4
31,32,GTECH,Georgia Tech,Yellow Jackets,Atlantic Coast,996.0133675753447,5 - 3
163,164,HARVRD,Harvard,Crimson,Ivy League,995.9525513286526,5 - 4
241,242,AUSP,Austin Peay,Governors,Atlantic Sun,995.9252238767683,4 - 3
257,258,NAVY,Navy,Midshipmen,Patriot League,995.1440877124721,4 - 5
66,67,STJOHN,St. John's,Red Storm,Big East,994.9876374318478,4 - 3
27,28,PITT,Pittsburgh,Panthers,Atlantic Coast,994.106151493124,5 - 3
154,155,YNGST,Youngstown State,Penguins,Horizon League,993.7639545439016,4 - 4
34,35,BOSCOL,Boston College,Eagles,Atlantic Coast,993.5460424095359,4 - 4
286,287,WCAR,Western Carolina,Catamounts,Southern,992.8672550696938,3 - 4
45,46,STJOE,Saint Joseph's,Hawks,Atlantic 10,992.7982103797945,4 - 3
280,281,CHAT,Chattanooga,Mocs,Southern,992.5486303313185,4 - 4
240,241,TMRT,UT Martin,Skyhawks,Ohio Valley,992.545810829647,4 - 3
258,259,BOSTU,Boston,Terriers,Patriot League,992.5038419872886,3 - 5
206,207,INDST,Indiana State,Sycamores,Missouri Valley,992.4549651280761,4 - 4
39,40,LIPSC,Lipscomb,Bisons,Atlantic Sun,992.3331381500885,4 - 4
115,116,UCIRV,UC Irvine,Anteaters,Big West,991.8452176872871,5 - 4
72,73,IDAHO,Idaho,Vandals,Big Sky,991.6874167038824,4 - 3
282,283,FURMAN,Furman,Paladins,Southern,991.4916056363481,4 - 4
1225,1391,UWG,West Georgia,Wolves,Atlantic Sun,991.324352843038,4 - 3
14,15,VERM,Vermont,Catamounts,America East,990.8865700372409,5 - 4
130,131,NEAST,Northeastern,Huskies,Coastal Athletic Association,990.4885665307063,3 - 4
131,132,DREXEL,Drexel,Dragons,Coastal Athletic Association,990.4084354704636,4 - 4
308,309,ALAAM,Alabama A&M,Bulldogs,Southwestern Athletic,989.8789757279887,3 - 3
204,205,SILL,Southern Illinois,Salukis,Missouri Valley,989.60777891007,4 - 4
142,143,SOUMIS,Southern Miss,Golden Eagles,Sun Belt,989.0024979883189,4 - 3
119,120,UCRVS,UC Riverside,Highlanders,Big West,988.8091094231881,4 - 4
295,296,ABCHR,Abilene Christian,Wildcats,Western Athletic,988.5535332295702,5 - 3
134,135,MTNST,Middle Tennessee,Blue Raiders,Conference USA,988.3166685002046,4 - 3
60,61,CREIGH,Creighton,Bluejays,Big East,987.8338325378343,4 - 3
345,346,CSU,Bakersfield,Roadrunners,Big West,986.1215431781987,4 - 4
234,235,TENST,Tennessee State,Tigers,Ohio Valley,985.9963595244218,5 - 3
292,293,HOUBAP,Houston Christian,Huskies,Southland,985.6878866778002,4 - 3
171,172,CANS,Canisius,Golden Griffins,Metro Atlantic Athletic,985.4975273344388,4 - 4
261,262,LOYMD,Loyola Maryland,Greyhounds,Patriot League,985.4411930207397,4 - 5
87,88,CHSOU,Charleston Southern,Buccaneers,Big South,983.926512149008,5 - 4
86,87,LONGWD,Longwood,Lancers,Big South,983.6542768209227,4 - 5
79,80,NCASHE,UNC Asheville,Bulldogs,Big South,983.5622428944041,3 - 4
359,392,TXAMC,East Texas A&M,Lions,Southland,982.8203720039761,4 - 3
262,263,ARMY,Army,Black Knights,Patriot League,982.8033586804268,3 - 6
67,68,MONT,Montana,Grizzlies,Big Sky,982.7577576704336,4 - 4
259,260,LEHI,Lehigh,Mountain Hawks,Patriot League,982.7380809870145,3 - 6
244,245,ORE,Oregon,Ducks,Big Ten,982.6693725107976,4 - 3
71,72,IDHST,Idaho State,Bengals,Big Sky,982.3032083908507,4 - 4
6,7,MPHS,Memphis,Tigers,American,982.2268301378591,2 - 4
68,69,WEBST,Weber State,Wildcats,Big Sky,981.9390425414308,3 - 4
91,92,MARY,Maryland,Terrapins,Big Ten,981.9292226227018,5 - 3
251,252,OREGST,Oregon State,Beavers,Pac-12,981.8712720520953,3 - 5
184,185,CMICH,Central Michigan,Chippewas,Mid-American,981.1285231495634,3 - 4
311,312,GRMBST,Grambling State,Tigers,Southwestern Athletic,981.1176428899657,3 - 4
187,188,WMICH,Western Michigan,Broncos,Mid-American,980.9585999222604,3 - 5
293,294,INCAR,Incarnate Word,Cardinals,Southland,980.8729858469953,4 - 3
629,750,DXST,Utah Tech,Trailblazers,Western Athletic,980.8122709201273,5 - 5
149,150,WRGHT,Wright State,Raiders,Horizon League,980.6650295058394,4 - 4
165,166,MONM,Monmouth,Hawks,Coastal Athletic Association,980.5305763876719,4 - 4
139,140,FLINT,Florida International,Golden Panthers,Conference USA,980.3433236832911,3 - 3
330,331,APPLST,Appalachian State,Mountaineers,Sun Belt,980.1830805040703,4 - 5
341,342,SD,San Diego,Toreros,West Coast,980.1817039445378,3 - 4
237,238,JAXST,Jacksonville State,Gamecocks,Conference USA,980.0178715156637,3 - 3
277,278,MSPST,Mississippi State,Bulldogs,Southeastern,978.8282056947442,3 - 3
328,329,GAS,Georgia Southern,Eagles,Sun Belt,978.7037797642851,4 - 5
207,208,MSRST,Missouri State,Bears,Conference USA,978.6133867917132,4 - 3
102,103,RUTGER,Rutgers,Scarlet Knights,Big Ten,978.5025581542486,5 - 3
132,133,DEL,Delaware,Fightin' Blue Hens,Conference USA,978.1786322738222,2 - 4
168,169,STPETE,Saint Peter's,Peacocks,Metro Atlantic Athletic,978.0284407538826,2 - 4
128,129,CHAR,Charleston,Cougars,Coastal Athletic Association,977.836478872835,4 - 5
362,396,NAL,North Alabama,Lions,Atlantic Sun,977.813116344602,3 - 4
878,1025,BELLA,Bellarmine,Knights,Atlantic Sun,977.7831393500107,3 - 4
89,90,CAMP,Campbell,Fighting Camels,Coastal Athletic Association,977.6426306158896,3 - 4
164,165,DART,Dartmouth,Big Green,Ivy League,977.5628891427757,2 - 3
256,257,BUCK,Bucknell,Bison,Patriot League,977.5126963465382,2 - 7
313,314,SDKST,South Dakota State,Jackrabbits,Summit,977.3948489662035,4 - 4
185,186,NILL,Northern Illinois,Huskies,Mid-American,977.3845320513777,3 - 4
297,298,CARK,Central Arkansas,Bears,Atlantic Sun,977.2983501502857,3 - 5
170,171,MANH,Manhattan,Jaspers,Metro Atlantic Athletic,977.2090203171524,3 - 5
312,313,PVAM,Prairie View A&M,Panthers,Southwestern Athletic,977.0389900111151,4 - 4
620,741,JAC,Lindenwood,Lions,Ohio Valley,976.9347175235854,3 - 4
120,121,CSUNR,CSUN,Matadors,Big West,976.7469025484254,3 - 4
263,264,HOLY,Holy Cross,Crusaders,Patriot League,976.7467746320843,2 - 6
